Image,Name,Description,Difficulty,Time,Keyword_Score,Difficulty_Numeric,Predicted_Complexity
,Phoenix,"Mythical bird with long neck, large feather on its head and fanned tail.",intermediate,38 minutes,-1,3,2.952738530352346
,Ogre,"Humanoid figure with large head, chest and arms.",intermediate,29 minutes,2,3,3.082375613317343
,Winged Wolf,Standing wolf with large wings.,intermediate,27 minutes,0,3,3.335088848119148
,Cube,Cube with one fully open edge.,moderate,19 minutes,0,2,1.7023999749234862
,Lady Godiva,Three-dimentional reverse-colored woman atop a horse.,hard,2 hours,0,4,3.783283032135728
,Fivefold Rose,Five-sided flower.,intermediate,1 hour,0,3,2.927163245469658
,Grim Reaper,"Humanoid skeleton in tattered robes carrying a large scythe, with reverse-colored skull face, hands and feet.",complex,7 hours 34 minutes,2,5,4.942005998671308
,Spinosaurus,Standing dinosaur with small reverse-colored sail on its back and dewclaws on its legs.,hard,1 hour 33 minutes,0,4,3.265608979717292
,Samurai Helmet Beetle,Distinctively shaped beetle with reverse-colored wings posed as if in flight.,hard,2 hours 25 minutes,0,4,3.9655684182424755
,Slowpoke,"Three-dimentional Pokémon with reverse-colored eyes, toes and mouth, featuring two large incisors.",moderate,50 minutes,0,2,2.4308062492252818
,Giant Panda,Standing panda bear with distinctive color changes.,intermediate,45 minutes,0,3,3.001918312965384
,Winged Unicorn,"Winged unicorn with a large, reverse-colored horn.",intermediate,53 minutes,2,3,3.426442291458749
,Biplane,Three-dimentional airplane with stacked wings and two wheels.,hard,2 hours,0,4,3.771832250915099
,Dragon with Wizard,"Quadruped dragon breathing reverse-colored flames, with a humanoid figure on its back.",hard,3 hours 23 minutes,6,4,3.593723880581554
,Dragon with Warrior,"Flying dragon with horned head, carrying a humanoid figure.",hard,3 hours 16 minutes,6,4,4.0312920232280405
,Sea serpent,Sea serpent with dragon-like head and long tail.,moderate,21 minutes,0,2,2.527666941394251
,Crayfish,Lobster-like creature with two large claws and four legs.,moderate,35 minutes,0,2,2.317047118349657
,Dragon Hatchling,"Egg with reverse-colored head, tail and wings of a baby dragon peeking out.",intermediate,35 minutes,2,3,3.17948968515619
,Snake,"Abstract snake coiled around itself, neck and head raised, with a reverse-colored open mouth.",easy,7 minutes,0,1,0.7915233772128716
,Rocket,Abstract and boxy rocket with four fins.,moderate,12 minutes,0,2,1.8598200042058597
,Witch,Robed woman with pointy hat on a flying broom.,hard,1 hour 53 minutes,0,4,4.009246226395747
,King Tut,Mask of the Egyptian pharaoh Tutankhamun.,intermediate,32 minutes,0,3,2.7441531414832667
,Cuckoo Clock,Three-dimentional cuckoo clock with long pendulum and bird popping out.,hard,2 hours 34 minutes,-1,4,3.8411204264043457
,Hummingbird,Flying bird with long beak and reverse-colored body.,intermediate,41 minutes,-1,3,2.846312960421586
,One-Headed Dragon,Standing dragon with long neck.,moderate,23 minutes,2,2,2.244975155493551
,Nun,Standing robed figure with reverse-colored wimple.,moderate,14 minutes,0,2,1.8536126028405082
,Pigeon,Three-dimentional bird with distinctive plumage and body shape.,intermediate,1 hour 5 minutes,-1,3,2.5648742430948306
,Vulture,Abstract bird with distinctive silhouette.,moderate,13 minutes,-1,2,1.980714447371191
,White-faced Mouse,Abstract mouse with reverse-colored face.,easy,3 minutes,0,1,0.9181072856786594
,Swan,Sitting or swimming bird with long neck and separate wings and plumage.,moderate,8 minutes,-1,2,1.7833108824644648
,Fish,Abstract fish with pelvic and tail fin.,easy,5 minutes,0,1,0.9521212221286213
,2 Fold Santa,Abstract Santa Claus model.,easy,1 minute,0,1,1.1557797633972728
,One Fold Stegosaurus,"Flat, abstract dinosaur.",easy,1 minute,0,1,1.446686764094496
,Pigeon,Abstract flying bird with reverse-colored beak and underside.,easy,2 minutes,-1,1,1.690746317891317
,Candy Box,Open tapered box with reverse-colored underside.,easy,5 minutes,0,1,1.11852226389395
,Fancy Box,Box with pointed sides and reverse-colored triangle decorations on the edge.,easy,6 minutes,0,1,1.0202330356018514
,Pig,Abstract standing pig.,easy,4 minutes,0,1,1.189855936377446
,Star,Five-pointed star with visible flaps.,easy,4 minutes,0,1,0.8903675898643146
,Pelican,Abstract swimming or sitting bird.,easy,3 minutes,0,1,1.1256641905934681
,House,Abstract symbol of two adjoined houses.,easy,2 minutes,0,1,1.2828512811837962
,Jumping frog,"Three-dimentional frog with four fingers and five toes, open mouth and eyes that jumps when tapped.",moderate,50 minutes,0,2,2.004810922063741
,Jumping frog,Abstract frog that jumps when tapped.,easy,4 minutes,0,1,0.9592323409629184
,Jumping frog,Abstract frog that jumps when tapped.,easy,4 minutes,0,1,0.9592323409629184
,Oblong Box,Long rectangular box with two attached open lids.,easy,4 minutes,0,1,0.8379973604097661
,Tall Cap,High cone-shaped hat.,easy,2 minutes,0,1,1.128153362830068
,Boat,Simple open boat.,moderate,3 minutes,-1,2,1.9226096396273342
,Piano,Abstract three-dimentional piano.,easy,3 minutes,0,1,1.0694721203450743
,Jumping frog,Abstract frog that jumps when tapped.,easy,3 minutes,0,1,0.9592323409629184
,Three-Headed Dragon,Bipedal three-headed creature with small wings and horned heads featuring open mouths.,intermediate,2 hours 22 minutes,2,3,2.82406220351951
,Charizard,Standing three-dimentional dragon from Pokémon with reverse-colored wings and flame on the tip of its tail.,hard,2 hours 55 minutes,2,4,4.02834694966245
,Lapras,Three-dimentional plesiosaur-like creature with reverse-colored shell on its back.,intermediate,48 minutes,0,3,3.134420198970201
,Bulbasaur,Quadruped creature with large plant bulb on its back.,intermediate,30 minutes,2,3,2.731688748213309
,Pegasus,Horse with medium-sized wings.,hard,1 hour 50 minutes,0,4,3.33080658880092
,Tulip and Stem,Red abstract flower with three petals on a stem with a single leaf.,easy,4 minutes,-1,1,1.036138029320194
,Atlantic Puffin,Standing bulky bird with reverse-colored elements.,intermediate,52 minutes,-1,3,3.2178809520307388
,Rabbit,Simple abstract rabbit face.,easy,2 minutes,-1,1,1.3997528301984212
,Horse,Simple abstract horse head.,easy,3 minutes,-1,1,0.8842116580270725
,Cat,Simple abstract cat face.,easy,2 minutes,-1,1,0.9921450764063424
,Tarrasque,"Quadruped armored beast with long tail, scales on its back and a horned head.",complex,3 hours 45 minutes,4,5,4.624635994146153
,Dog,Simple abstract dog face.,easy,2 minutes,-1,1,1.2221251495359562
,Fish,"Simple generic fish with dorsal, pelvic and caudal fins.",easy,6 minutes,-1,1,0.9478553340511247
,Fish,Simple abstract fish,easy,2 minutes,-1,1,1.0897472939336412
,Penguin,Simple abstract penguin,easy,2 minutes,-1,1,0.48549067714345706
,Lily Pad,Flat water lily leaf.,moderate,8 minutes,-1,2,2.2125034969018684
,Lotus Flower,Water lily flower.,moderate,20 minutes,0,2,2.1277429897721523
,Greater Death’s Head Hawkmoth,"Flying insect with reverse-colored wings, striped abdomen and skull-like symbol on its back.",complex,4 hours 10 minutes,0,5,4.358785461474037
,Prehistoric Man,Male humanoid shape with visible genitals.,moderate,14 minutes,2,2,1.7421588377188337
,Otyugh,Three-legged monster with two large tentacles and an open mouth.,intermediate,1 hour 18 minutes,0,3,3.1349879935616736
,Bulette,Armored quadruped creature with large maw.,hard,1 hour 58 minutes,2,4,3.9137846730701806
,Fly,Abstract three-dimentional flying insect with reverse-colored wings.,easy,6 minutes,0,1,1.3657707671436434
,Question Mark,Question mark symbol on a reverse-colored background.,intermediate,22 minutes,0,3,2.8361936769184912
,Tulip,Flat duo-colored flower on reverse-colored background.,intermediate,38 minutes,-2,3,2.7879211696567143
,Owlbear,Abstract bear-like creature with large beak and talons.,moderate,37 minutes,0,2,1.9348959685281644
,Intellect Devourer,"Brain on four legs, each having three digits.",intermediate,1 hour 11 minutes,0,3,3.2700229256905615
,Displacer beast,Six-legged catlike creature with two large tentacles sprouting from its back.,hard,2 hours 40 minutes,0,4,3.7862217791133537
,Heart with bow,Heart symbol with reverse-colored bow on top.,easy,9 minutes,0,1,1.135107151062187
,Staff,Abstract staff topped with a reverse-colored tip.,moderate,13 minutes,0,2,2.0059462372589065
,The Flying Carpet,Airplane that can be thrown.,easy,4 minutes,0,1,1.1271926038587812
,Carp banner,Abstract fish with open mouth and two pectoral fins.,easy,7 minutes,0,1,1.0412083938500278
,The Glider,Airplane that can be thrown.,easy,4 minutes,0,1,1.1271926038587812
,Sword,Abstract sword with reverse-colored blade and upward crossguard.,moderate,11 minutes,0,2,1.874545486027843
,Tiger,Abstract tiger with reverse-colored stripes and nose.,intermediate,51 minutes,0,3,2.618220038144805
,Mammoth,Abstract mammoth model with large reverse-colored thusks.,intermediate,38 minutes,0,3,2.94502001357417
,Rhinoceros,Abstract rhino with distinctive head and large horn.,moderate,27 minutes,0,2,2.3143878128721185
,Merino Sheep,Sheep with horns and reverse-colored head.,moderate,22 minutes,0,2,2.228161942038841
,Baby Gorilla,Standing ape model with distinctive head and pose.,moderate,22 minutes,0,2,2.033373450513607
,Phantom,Large conch shell with reverse-colored wave coming out of it featuring a small boat.,complex,4 hours 35 minutes,0,5,4.524205213935806
,Tonosama grasshopper,"Grasshopper with six independent legs, two antennae and distinctive shape.",intermediate,1 hour 5 minutes,0,3,3.145651872073493
,Ax,Simple axe with reverse-colored blade.,moderate,9 minutes,-1,2,2.156886252452878
,Giant Tortoise,Standing tortoise with large shield and raised head.,intermediate,44 minutes,0,3,3.0004181583599747
,Sea Turtle,Three-dimentional turtle with distinctive flippers.,moderate,18 minutes,0,2,2.293204706365302
,Singer,Cowled humanoid figure with a book in one hand.,moderate,40 minutes,2,2,2.3741115944061475
,Velociraptor,"Bipedal dinosaur model with reverse-colored head, feet and arm feathers.",intermediate,1 hour 3 minutes,0,3,2.862536097009264
,Skull Coin,Octogonal flat model with a reverse-colored skull symbol.,intermediate,24 minutes,-1,3,2.7418790979382566
,Deer,Standing deer featuring antlers with six points.,intermediate,55 minutes,0,3,2.5473703781542434
,Lady,Winged female figure with long skirt.,hard,2 hours 24 minutes,2,4,3.853231601936404
,Fish,"Abstract fish model with open mouth and large, reverse-colored eye.",intermediate,29 minutes,0,3,2.6473682622388335
,Ammonite,Segmented shell with four reverse-colored tentacles.,moderate,29 minutes,0,2,2.0755227083457344
,Dandelion,Flower on stem with reverse-colored petals.,moderate,25 minutes,-1,2,1.9474279018610883
,Raccoon,"Sitting racoon with distinctive reverse-colored snout, ears and bands on its tail.",intermediate,41 minutes,0,3,3.071320646556955
,Velociraptor,Standing bipedal dinosaur with long tail and open mouth.,moderate,27 minutes,0,2,2.259623570586575
,Hedgehog,"Standing hedgehog with reverse-colored head and feet, including a segmented back featuring quill-like motif.",intermediate,50 minutes,0,3,3.2242782810191177
,Crab,Eight-legged crab with two large claws.,intermediate,35 minutes,0,3,2.8607368574064216
,Zebra,"Standing zebra with reverse-colored nose, mane, tail and three stripes on its back.",intermediate,40 minutes,0,3,3.008078839986603
,Clownfish,Fish with reverse-colored stripes.,intermediate,38 minutes,0,3,2.7742660021465833
,Toad/frog,"Sitting frog (or toad) model with reverse-colored eyes and jaw, featuring three digits on its front toes.",intermediate,54 minutes,0,3,2.934101724559362
,Unicorn,Standing unicorn with large head and twisted horn.,intermediate,57 minutes,0,3,2.974669119406867
,Satyr,Standing goat-like humanoid with reverse-colored horns.,hard,1 hour 18 minutes,2,4,3.9568949246160545
,Ancient Dragon,"Dragon with eight large spikes on its head, large wings, segmented tail and four talons with four digits each.",complex,9 hours 50 minutes,2,5,4.966699343557854
,Bear with salmon,Abstract sitting bear holding a reverse-colored fish in its arms.,moderate,33 minutes,0,2,2.2858668316847277
,Lantern,Traditional lantern with octagonal-shaped inside.,easy,3 minutes,0,1,0.7818518823680458
,Lantern,Traditional lantern with pointed sides.,easy,3 minutes,0,1,1.2897781036963027
,Giant Squid,Cephalopod with two large and eight smaller tentacles and distinctive fin.,intermediate,1 hour 38 minutes,0,3,2.8850166973808165
,Cuttlefish,"Three-dimentional cuttlefish with reverse-colored eye and underside, featuring eight tentacles.",intermediate,40 minutes,0,3,3.0503551181904704
,Axolotl,Amphibian with reverse-colored external gills.,moderate,25 minutes,0,2,2.09278542357975
,Sphinx,Sitting lion-like creature with abstract face.,intermediate,1 hour 28 minutes,0,3,2.67463808387633
,Yin Yang Crane,"Traditional crane with one side of the model reverse-colored, with a dot on each wing in the inverted color.",moderate,18 minutes,0,2,2.2452763228419683
,Rowlet,Sitting owl-like Pokémon with round body.,moderate,27 minutes,0,2,1.9850819989560335
,Lambeosaurus,Quadrupedal dinosaur with distinctive cranial crest.,intermediate,30 minutes,0,3,2.706680416913464
,Dog,"Sitting dog with reverse-colored front paws, breast and cheeks.",moderate,22 minutes,0,2,2.400654420590315
,Tree Sunset,"Silhouette of tree trunk and branches, against a reverse-colored background with radial lines.",moderate,28 minutes,0,2,2.0694141199461242
,Mephistopheles,"Standing humanoid devil with horned head, large wings and forked tail.",hard,3 hours 29 minutes,4,4,4.295940421949191
,Frog,Amphibian with distinctive legs and hands and feet ending in three digits.,intermediate,1 hour 14 minutes,0,3,3.257806551351855
,Centaur,"Creature with muscled, reverse-colored upper body of a humanoid and lower body of a horse.",intermediate,1 hour 30 minutes,2,3,3.4095807213827096
,Butterfly,Winged insect with six legs and short antennae.,hard,45 minutes,2,4,3.993368798018445
,Wizard,"Humanoid figure with arms stretched, wearing a robe and pointy hat.",hard,1 hour 33 minutes,2,4,3.196575735793744
,Lean-To,Shelter with sloped roof and single opening.,intermediate,26 minutes,0,3,2.831500417176774
,Narwhal,"Whale with long, curved reverse-colored thusk.",moderate,26 minutes,0,2,1.9696301508943725
,Lizard,Lizard with arms and legs with three digits.,hard,1 hour 24 minutes,0,4,3.3106219150188156
,Cerberus,Three-headed dog with curved tail and thin legs.,intermediate,43 minutes,0,3,2.984768062373381
,Piranha Fish,"Stylized, flat piranha fish.",intermediate,17 minutes,-1,3,2.8378452500751035
,Fire breathing dragon,"Standing, bulky dragon with small wings that breaths fire from its maw.",moderate,50 minutes,2,2,2.1669406556003
,You Are Always In My Heart,Hearth symbol within a reverse-colored heart symbol.,moderate,14 minutes,0,2,1.868063222736321
,Scarecrow (Edward Bird-hands),Standing humanoid with birds for hands.,intermediate,1 hour 2 minutes,2,3,2.9123522411503933
,Kitty,Sitting abstract cat model.,moderate,11 minutes,0,2,1.8248021885132966
,Crocodile,Reptile with reverse-colored teeth and eyes.,intermediate,28 minutes,0,3,2.9700337467437308
,Sailfish,"Model with long bill, large dorsal fin and reverse-colored underside.",moderate,28 minutes,0,2,2.1751799673277334
,Long Legged Crane,"Bird on spindly, reverse-colored legs.",intermediate,24 minutes,-1,3,3.201121750955739
,Tetrahedron,Triangular pyramid composed of four faces.,moderate,7 minutes,0,2,2.0382606868423316
,Diamond,Radial-shaped diamond with eight sides.,moderate,14 minutes,0,2,1.7828326412726454
,Cube,Six-faced model.,moderate,6 minutes,0,2,2.298286169567094
,Hexahedron,Six-faced shape.,moderate,8 minutes,0,2,1.9050366491371307
,Pyramid,Square pyramid model.,moderate,8 minutes,0,2,1.8643992391834203
,Stegosaurus,Abstract dinosaur model with distinctive plates and tail.,moderate,27 minutes,0,2,1.868182410225181
,Octahedron One,Eight-sided shape.,moderate,10 minutes,0,2,2.128451991649639
,Octahedron Two,Asymmetrical eight-faced shape with indented bottom.,intermediate,18 minutes,0,3,3.216082997583908
,DNA Wheel,Circular wheel-like model created by flattening a DNA-like structure.,moderate,16 minutes,0,2,2.0146177590315992
,Vel’Koz,Floating creature with single large eye and three tentacles.,moderate,19 minutes,0,2,1.7103578024562107
,Sunken Pyramid,Three-sided pyramid with sunken tip.,moderate,8 minutes,0,2,1.9867586701955569
,Helmet,Pointed Corinthian helmet with open backside.,moderate,21 minutes,0,2,1.9375050771160642
,Five-Banded Armadillo,Armadillo with large segmented shell and feet ending in three toes.,intermediate,1 hour 50 minutes,0,3,2.882820059915725
,Oriental Dragon,"Wingless, flying dragon with hollow body and pronounced head.",intermediate,2 hours 5 minutes,2,3,2.817049038272584
,Thanksgiving Turkey,Abstract roasted turkey with distinctive arms and legs.,intermediate,10 minutes,0,3,2.673915849562917
,Beetle,Rhinoceros beetle with six segmented legs and distinctive horn.,intermediate,47 minutes,0,3,2.9361932135970683
,Demon,Standing demon with two small wings and cloven feet.,intermediate,42 minutes,0,3,2.7525095595967906
,Ouroboros,"Three-dimentional winged snake with large dragon-like wings, curved in a circle.",intermediate,2 hours 24 minutes,2,3,2.9840782631719946
,Medusa,Woman with serpentine lower body and hair made of eight snakes.,intermediate,2 hours 48 minutes,0,3,3.315055672074881
,Sprout,Two leaves on a stem in a reverse-colored pot.,intermediate,33 minutes,0,3,2.638092938673003
,Griffin,"Distinctive half-lion, half-eagle with claws with three digits.",intermediate,1 hour 5 minutes,0,3,3.1144581976001717
,Christmas Angel,Abstract humanoid creature with wings and arms folded behind its back.,easy,9 minutes,2,1,1.2349530857939182
,Flying Serpent,"Winged snake with open mouth, long tail and two claws.",intermediate,35 minutes,2,3,3.108055206906081
,Sagittarius,"Bulky, abstract centaur model.",moderate,26 minutes,0,2,1.698358213767372
,Suit of Armor,"Standing armor with pauldrons, pointed helmet and distinctive knee pads.",moderate,22 minutes,0,2,2.3406787759552516
,Igor,Hunch-backed humanoid figure.,moderate,14 minutes,2,2,2.0793139427329628
,Bat,Abstract bat model with feet and distinctive ears.,easy,11 minutes,0,1,1.231721843877616
,Ghost,Abstract ghost with reverse-colored eyes and mouth.,moderate,10 minutes,0,2,2.032706347970027
,Pumpkin,Abstract pumpkin model with eight segments and a reverse-colored stem.,moderate,10 minutes,0,2,1.9601259995415108
,Crow,Bird model with four digits on each talon.,intermediate,48 minutes,-1,3,3.3282532389975334
,Inchworm,Crawling catepillar model with curved body.,moderate,26 minutes,0,2,2.241958862293586
,Mouse,Sitting mouse model.,moderate,14 minutes,0,2,2.003911000274465
,Adirondack Chair,Chair with wide armrests and large backrest.,moderate,21 minutes,0,2,2.0149372116334536
,Cat,"Sitting cat with three-dimentional head and reverse-colored snout, legs and underside.",intermediate,1 hour 3 minutes,0,3,2.983356671585154
,Red Wyvern,Wyvern with a horned head and talons with three digits.,intermediate,1 hour 40 minutes,2,3,3.5530991528627984
,Styracosaurus,Dinsoaur with six spikes on its neck frill and a single horn on its nose.,intermediate,55 minutes,0,3,3.0484268310697824
,Octopus,Abstract eight-legged bulbous octopus model.,moderate,26 minutes,0,2,1.8800642049978546
,Common Loon,"Aquatic bird model with reverse-colored lower sides, breast and neck.",moderate,16 minutes,-1,2,2.4463065979724297
,Foxy fox,Standing fox model with reverse-colored tail and inner ears.,moderate,24 minutes,0,2,2.30786258825599
,Elephant Seal,"Sitting male elephant seal with distinctive nose, leaning back.",moderate,26 minutes,0,2,2.553363971553004
,Chicken,"Abstract chicken with reverse-colored comb, two independent wings and a single foot.",easy,6 minutes,0,1,1.1471546018628418
,Jumping Cricket,Cricket with four distinct legs and hind legs pressed against its body that can be made to jump.,moderate,24 minutes,0,2,2.05460516442965
,Sailing Boat,Three-dimentional ship with two reverse-colored sails.,moderate,18 minutes,0,2,2.163114570235704
,Treasure Chest,Rectangular trunk with curved lid.,moderate,38 minutes,0,2,1.8404715098516018
,Emperor penguin,Standing penguin with reverse-colored belly.,moderate,19 minutes,0,2,2.296172482726464
,Fish skeleton,Abstract fish bone model with distinctive ribs.,moderate,8 minutes,0,2,2.3185960247556716
,Stegosaurus,"Standing dinosaur with large body, 8 plates on its back and a four-spiked thagomizer.",intermediate,1 hour 35 minutes,0,3,3.0868396482207148
,Tapejara,Flying dinosaur with large wings and large crest on its head.,intermediate,1 hour,0,3,3.0733366469476033
,Snail chopstick rest,Simple snail model with eyestalks and coiled shell.,easy,7 minutes,-1,1,1.1933932355415362
,Ankylosaurus,Standing ankylosaurus with distinctive spikes at its sides.,intermediate,1 hour 20 minutes,0,3,3.013570066693083
,Praying Mantis,"Insect standing on four legs, with two distinctive raptorial front legs.",intermediate,48 minutes,0,3,3.0589268657131257
,Dimetrodon,Quadruped model with reverse-colored sail and eyes.,intermediate,1 hour 35 minutes,2,3,3.2333844225498742
,The Shadow of Dragon,Nearly flat dragon shape on a reverse-colored diamond.,intermediate,53 minutes,1,3,3.18600262738731
,Goat,Standing goat with distinctive eyes and two horns.,intermediate,47 minutes,0,3,2.5749229446230215
,Winged Sonobe (icosahedron),"Modular, winged polyhedron model folded from 30 sheets.",intermediate,2 hours 4 minutes,2,3,2.75554854396981
,Winged Sonobe (star tetrahedron),Stellated octahedron model made from winged Sonobe modules.,intermediate,1 hour,2,3,3.1701086816958797
,Fox 2015,Standing fox with distinctive face and reverse-colored tail tip.,intermediate,38 minutes,0,3,2.5091209201489026
,Rooster,"Rooster with reverse-colored wattle, comb and legs.",intermediate,45 minutes,0,3,2.659995082920674
,Bactrian Camel,Abstract standing camel model with two humps.,intermediate,35 minutes,0,3,3.0688782086919253
,Flying squirrel,"Nearly flat squirrel model, with a head that features a nose, ears and eyes.",intermediate,52 minutes,-1,3,2.5065067596910233
,Tulip and Stem,Four-petalled flower with large stigma on a stem with a single leaf.,moderate,8 minutes,-1,2,1.8723211621479718
,Penguin,Traditional penguin model with single foot.,easy,7 minutes,0,1,1.3681623634853535
,Masu box and Insert,Square container with four separate compartments.,moderate,15 minutes,0,2,2.051796493048529
,Ship,Hollow boat model with two decks.,moderate,16 minutes,-1,2,1.835587524662744
,Fancy Goldfish,Simple fish model with hanging tail fin.,easy,7 minutes,-1,1,1.2204663610341855
,Seal,Traditional abstract seal model with two front flippers.,easy,5 minutes,0,1,0.8911355159728798
,Bride,Boxy bride with long veil.,moderate,23 minutes,0,2,1.9145743516490148
,Groom,Boxy groom with spikey hair and reverse-colored face and undershirt.,moderate,21 minutes,0,2,2.023728137721264
,Dress ver.1,Flat dress model with wide skirt.,moderate,11 minutes,-1,2,2.2368899988881683
,Bicycle,Bicycle with distinctive frame and reverse-colored wheels.,hard,3 hours 5 minutes,0,4,4.041947064059573
,Human Figure,Standing humanoid figure with reverse-colored face.,moderate,14 minutes,2,2,1.8249246430640844
,Frying Pan,Square skillet model.,moderate,8 minutes,0,2,1.960062121896371
,Ornament,Ornament made from six sheets.,moderate,10 minutes,0,2,1.890187568649937
,Leaf & snail,Reverse-colored snail on a leaf from a single sheet.,moderate,15 minutes,0,2,2.0768029797788423
,Troll,Bulky creature with large arms.,moderate,11 minutes,0,2,2.2873285958294307
,Flower with stem,Simple plant stem with reverse-colored flower and two leaves.,moderate,9 minutes,-2,2,2.1138352610500637
,Waterbomb,"A simple, three-dimentional box.",easy,6 minutes,0,1,1.1265464964386904
,Camel,Standing dromedary model with reverse-colored eye.,intermediate,55 minutes,0,3,3.132536295555405
,Unicorn,"Rearing unicorn with reverse-colored horn, mane and tail.",intermediate,50 minutes,0,3,2.5989541026559926
,Old man,Humanoid creature with large claws and a reverse-colored crane on its chest.,intermediate,1 hour 4 minutes,2,3,3.119799304471963
,Sailboat,Abstract boat with two reverse-colored sails.,easy,3 minutes,-1,1,0.9332172745859741
,Dinosaur,Standing dinosaur with claws and reverse-colored underside and jaw.,complex,2 hours 30 minutes,0,5,4.235623118553347
,Dinosaur,Simple bipedal dinosaur model.,moderate,5 minutes,-1,2,1.2415168715534255
,Ponyta,Fiery horse Pokémon model with reverse-colored mane and tail.,intermediate,37 minutes,0,3,3.066744887240073
,Vulpix,Standing six-tailed fox with distinctive curls on its head.,intermediate,46 minutes,0,3,3.074488304174857
,Zapdos,Lightning bird with reverse-colored beak.,intermediate,52 minutes,-1,3,2.343629731346605
,Firebender,Model of a kneeling humanoid figure creating flames.,moderate,15 minutes,2,2,2.097082229586754
,Crested Kingfisher,Bird with crest on its head and reverse-colored breast.,moderate,17 minutes,-1,2,2.3515397459458294
,Crow,Standing crow with four digits on each talon.,hard,1 hour 50 minutes,0,4,3.5798685436496447
,Tent,Tent with open flaps on the front.,easy,8 minutes,0,1,1.4238656706500552
,Monkey,Sitting monkey with reverse-colored face.,intermediate,20 minutes,0,3,2.4077331555311323
,Shark,Shark model with open mouth.,moderate,12 minutes,0,2,1.8089111243662317
,Turtle,Abstract turtle model.,moderate,6 minutes,0,2,1.8245857554495435
,Spinosaurus,Dinosaur model with large sail and open mouth.,intermediate,17 minutes,0,3,2.6678492725180107
,Dolphin,Simple asymmetric dolphin model.,easy,7 minutes,-1,1,1.2948085335388064
,Frog,"Boxy, three-dimentional frog model.",moderate,22 minutes,0,2,2.090138720694723
,Whale,"Simple, abstract long whale model.",easy,4 minutes,0,1,0.9242268895998347
,Gorilla,Ape model with distinctive pose.,moderate,11 minutes,0,2,1.8981288170807455
